take,t_ms,state,tilt_deg,hipV_per_s
1,81021.6,STANDING,3.15,0.000
1,81223.5,STANDING,1.95,0.026
1,81247.6,STANDING,1.37,0.006
1,81281.0,STANDING,1.30,-0.057
1,81314.3,STANDING,1.33,-0.057
1,81347.6,STANDING,1.40,-0.112
1,81380.9,STANDING,1.42,-0.181
1,81414.3,STANDING,1.20,-0.324
1,81447.7,STANDING,0.96,-0.210
1,81481.3,STANDING,0.93,-0.150
1,81514.3,STANDING,0.87,-0.293
1,81546.8,STANDING,0.96,-0.316
1,81580.4,STANDING,1.10,-0.409
1,81614.3,STANDING,1.11,-0.433
1,81647.6,STANDING,1.17,-0.493
1,81681.1,STANDING,1.17,-0.401
1,81714.2,STANDING,1.12,-0.322
1,81747.6,STANDING,1.18,-0.354
1,81782.0,STANDING,1.29,-0.311
1,81813.4,STANDING,1.43,-0.303
1,81847.7,STANDING,1.50,-0.198
1,81882.0,STANDING,1.50,-0.127
1,81913.5,STANDING,1.46,-0.129
1,81947.7,STANDING,1.38,-0.067
1,81980.0,STANDING,1.31,-0.149
1,82014.3,STANDING,1.11,-0.093
1,82046.7,STANDING,0.91,-0.217
1,82080.1,STANDING,0.70,-0.203
1,82114.3,STANDING,0.53,-0.181
1,82147.6,STANDING,0.36,-0.140
1,82181.0,STANDING,0.29,-0.069
1,82214.3,STANDING,0.39,-0.062
1,82246.9,STANDING,0.43,-0.071
1,82280.9,STANDING,0.47,-0.039
1,82314.5,STANDING,0.54,-0.065
1,82347.8,STANDING,0.61,-0.175
1,82381.0,STANDING,0.63,-0.242
1,82414.9,STANDING,0.59,-0.226
1,82448.7,STANDING,0.52,-0.134
1,82481.0,STANDING,0.45,-0.124
1,82514.2,STANDING,0.43,-0.123
1,82547.7,STANDING,0.46,-0.133
1,82581.1,STANDING,0.49,-0.094
1,82614.9,STANDING,0.60,-0.047
1,82656.9,STANDING,0.71,-0.010
1,82690.4,STANDING,0.91,0.006
1,82723.2,STANDING,0.97,0.060
1,82756.9,STANDING,0.94,0.109
1,82790.2,STANDING,0.83,0.132
