take,t_ms,state,tilt_deg,hipV_per_s
1,2643.5,STANDING,1.09,0.000
1,2834.3,STANDING,0.93,0.029
1,2852.5,STANDING,0.89,-0.124
1,2885.8,STANDING,0.77,-0.154
1,2919.2,STANDING,0.73,-0.143
1,2952.4,STANDING,0.76,-0.081
1,2985.8,STANDING,0.67,-0.121
1,3019.2,STANDING,0.51,-0.241
1,3052.5,STANDING,0.40,-0.479
1,3085.8,STANDING,0.53,-0.651
1,3120.1,STANDING,0.90,-0.704
1,3153.5,STANDING,1.26,-1.192
1,3185.8,STANDING,1.63,-1.041
1,3219.2,STANDING,2.06,-0.741
1,3252.5,STANDING,2.38,-0.823
1,3285.8,STANDING,2.70,-1.430
1,3319.2,STANDING,2.76,-1.023
1,3353.5,STANDING,2.73,-0.729
1,3385.8,STANDING,2.78,-0.684
1,3419.1,STANDING,2.85,-0.686
1,3453.5,STANDING,2.91,-0.685
1,3485.8,STANDING,3.01,-0.544
1,3520.3,STANDING,3.10,-0.478
1,3552.5,STANDING,3.19,-0.464
1,3585.8,STANDING,3.32,-0.420
1,3619.2,STANDING,3.31,-0.296
1,3652.9,STANDING,3.34,-0.283
1,3685.9,STANDING,3.36,-0.198
1,3720.2,STANDING,3.36,-0.225
1,3753.5,STANDING,3.09,-0.204
1,3785.9,STANDING,2.96,-0.242
1,3819.1,STANDING,2.65,-0.255
1,3852.5,STANDING,2.28,-0.261
1,3886.8,STANDING,1.95,-0.413
1,3920.3,STANDING,1.81,-0.424
1,3953.5,STANDING,1.43,-0.386
1,3986.9,STANDING,0.96,-0.329
1,4020.2,STANDING,0.79,-0.334
1,4052.5,STANDING,0.84,-0.440
1,4085.9,STANDING,0.66,-0.322
1,4119.2,STANDING,0.46,-0.291
1,4152.5,STANDING,0.53,-0.257
1,4185.8,STANDING,0.69,-0.258
1,4219.9,STANDING,0.79,-0.249
1,4261.6,STANDING,0.87,-0.243
1,4294.1,STANDING,0.79,-0.199
1,4327.5,STANDING,0.75,-0.169
1,4360.8,STANDING,0.71,-0.145
1,4394.2,STANDING,0.68,-0.170
1,4427.5,STANDING,0.76,-0.146
1,4461.8,STANDING,0.89,-0.164
1,4494.8,STANDING,1.02,-0.152
1,4527.5,STANDING,1.21,-0.133
1,4560.8,STANDING,1.43,-0.154
1,4594.2,STANDING,1.69,-0.174
1,4627.6,STANDING,2.03,-0.167
1,4660.8,STANDING,2.47,-0.189
1,4694.2,STANDING,2.77,-0.168
1,4728.5,STANDING,2.98,-0.117
1,4761.9,STANDING,3.08,-0.080
1,4794.7,STANDING,3.21,-0.050
1,4826.6,STANDING,3.35,-0.041
1,4862.0,STANDING,3.45,-0.032
1,4894.4,STANDING,3.60,-0.076
1,4928.6,STANDING,3.86,-0.132
1,4960.8,STANDING,4.17,-0.147
1,4994.1,STANDING,4.54,-0.170
1,5028.6,STANDING,4.80,-0.126
1,5061.2,STANDING,5.01,-0.105
1,5095.3,STANDING,5.15,-0.099
1,5127.5,STANDING,5.27,-0.095
1,5161.9,STANDING,5.35,-0.093
1,5194.2,STANDING,5.43,-0.106
1,5227.6,STANDING,5.49,-0.095
1,5260.8,STANDING,5.42,-0.072
1,5294.4,STANDING,5.22,-0.062
1,5327.5,STANDING,5.05,-0.069
1,5369.3,STANDING,4.65,-0.055
1,5394.1,STANDING,4.33,-0.048
1,5427.7,STANDING,3.85,-0.050
1,5461.8,STANDING,3.26,-0.048
1,5494.2,STANDING,2.58,-0.048
1,5527.8,STANDING,1.79,-0.029
1,5561.1,STANDING,1.08,-0.022
1,5595.2,STANDING,0.91,-0.013
1,5627.8,STANDING,0.95,-0.014
1,5660.9,STANDING,1.18,-0.032
1,5694.2,STANDING,1.39,-0.062
1,5727.5,STANDING,1.82,-0.101
1,5760.7,STANDING,2.11,-0.086
1,5794.4,STANDING,2.38,-0.051
1,5828.0,STANDING,2.44,-0.021
1,5861.0,STANDING,2.42,0.004
1,5894.2,STANDING,2.43,0.007
1,5928.6,STANDING,2.16,0.007
1,5960.9,STANDING,2.06,0.002
1,5994.4,STANDING,2.03,-0.028
1,6028.6,STANDING,2.17,-0.073
1,6061.1,STANDING,2.25,-0.077
1,6094.4,STANDING,2.27,-0.092
1,6128.5,STANDING,2.26,-0.059
1,6160.8,STANDING,2.16,-0.032
1,6194.4,STANDING,1.96,-0.013
1,6227.6,STANDING,1.70,-0.004
1,6261.0,STANDING,1.41,0.001
1,6294.3,STANDING,1.10,0.003
1,6327.7,STANDING,0.84,0.001
1,6361.9,STANDING,0.60,-0.001
1,6395.3,STANDING,0.46,0.002
1,6427.7,STANDING,0.38,0.003
1,6460.8,STANDING,0.34,0.002
1,6494.2,STANDING,0.22,-0.035
1,6527.5,STANDING,0.40,-0.037
