take,t_ms,state,tilt_deg,hipV_per_s
1,2553.2,STANDING,0.64,0.000
1,2585.8,STANDING,0.53,0.018
1,2619.2,STANDING,0.47,0.000
1,2652.4,STANDING,0.33,-0.108
1,2685.8,STANDING,0.28,-0.069
1,2719.2,STANDING,0.19,-0.062
1,2752.6,STANDING,0.14,0.001
1,2785.8,STANDING,0.20,-0.004
1,2819.3,STANDING,0.30,-0.047
1,2852.5,STANDING,0.38,-0.097
1,2887.3,STANDING,0.69,-0.120
1,2919.3,STANDING,0.90,-0.182
1,2952.5,STANDING,1.06,-0.182
1,2985.8,STANDING,1.25,-0.146
1,3019.1,STANDING,1.55,-0.185
1,3052.6,STANDING,1.89,-0.267
1,3085.8,STANDING,2.22,-0.195
1,3119.2,STANDING,2.64,-0.277
1,3152.5,STANDING,2.90,-0.356
1,3185.8,STANDING,2.99,-0.404
1,3220.2,STANDING,3.02,-0.367
1,3252.6,STANDING,3.11,-0.297
1,3285.9,STANDING,3.24,-0.324
1,3319.2,STANDING,3.39,-0.400
1,3352.6,STANDING,3.42,-0.372
1,3386.8,STANDING,3.51,-0.410
1,3419.2,STANDING,3.57,-0.468
1,3452.5,STANDING,3.61,-0.478
1,3485.8,STANDING,3.64,-0.432
1,3519.2,STANDING,3.70,-0.430
1,3552.5,STANDING,3.70,-0.387
1,3585.8,STANDING,3.67,-0.345
1,3619.2,STANDING,3.60,-0.261
1,3652.5,STANDING,3.46,-0.219
1,3685.8,STANDING,3.35,-0.206
1,3719.2,STANDING,3.27,-0.170
1,3752.5,STANDING,3.09,-0.155
1,3786.7,STANDING,2.91,-0.185
1,3819.2,STANDING,2.69,-0.222
1,3852.5,STANDING,2.52,-0.186
1,3885.9,STANDING,2.26,-0.129
1,3920.3,STANDING,2.13,-0.121
1,3952.5,STANDING,1.93,-0.153
1,3994.6,STANDING,1.85,-0.180
1,4027.5,STANDING,1.87,-0.166
1,4060.8,STANDING,1.85,-0.177
1,4094.2,STANDING,1.79,-0.182
1,4127.5,STANDING,1.68,-0.222
1,4161.8,STANDING,1.60,-0.218
1,4194.2,STANDING,1.57,-0.246
1,4227.6,STANDING,1.42,-0.244
1,4261.9,STANDING,1.28,-0.247
1,4294.2,STANDING,1.14,-0.212
1,4327.5,STANDING,1.11,-0.138
1,4360.9,STANDING,1.10,-0.094
1,4394.2,STANDING,1.13,-0.063
1,4427.5,STANDING,1.29,-0.035
1,4460.9,STANDING,1.50,-0.023
1,4494.2,STANDING,1.65,-0.024
1,4527.5,STANDING,1.77,-0.038
1,4560.9,STANDING,1.88,-0.049
1,4594.2,STANDING,1.96,-0.055
1,4627.9,STANDING,2.01,-0.057
1,4661.9,STANDING,2.04,-0.053
1,4695.3,STANDING,2.02,-0.040
1,4727.5,STANDING,1.92,-0.046
1,4760.9,STANDING,1.68,-0.028
1,4794.5,STANDING,1.37,-0.036
1,4827.8,STANDING,1.17,-0.078
1,4861.2,STANDING,0.90,-0.072
1,4895.3,STANDING,0.77,-0.049
1,4927.9,STANDING,0.81,-0.076
1,4961.1,STANDING,0.85,-0.140
1,4993.2,STANDING,0.83,-0.130
1,5027.5,STANDING,0.87,-0.129
1,5052.6,STANDING,0.87,-0.153
1,5094.4,STANDING,0.93,-0.133
1,5127.8,STANDING,0.90,-0.116
1,5161.1,STANDING,0.89,-0.087
1,5194.7,STANDING,0.75,-0.065
1,5228.3,STANDING,0.62,-0.069
1,5260.9,STANDING,0.41,-0.039
1,5294.4,STANDING,0.46,-0.045
1,5327.8,STANDING,0.65,-0.022
1,5360.9,STANDING,0.93,-0.023
1,5394.3,STANDING,1.17,-0.033
1,5427.8,STANDING,1.43,-0.028
1,5460.8,STANDING,1.57,-0.013
1,5493.3,STANDING,1.66,-0.006
1,5527.8,STANDING,1.71,-0.009
1,5561.2,STANDING,1.81,-0.017
1,5594.1,STANDING,1.91,-0.021
1,5620.1,STANDING,1.94,-0.016
1,5660.8,STANDING,1.98,-0.013
1,5694.3,STANDING,1.99,-0.011
1,5727.9,STANDING,2.00,-0.006
1,5761.2,STANDING,1.99,-0.003
1,5794.4,STANDING,1.98,-0.001
1,5827.8,STANDING,2.06,0.000
1,5861.1,STANDING,2.17,-0.010
1,5894.4,STANDING,2.26,-0.010
1,5927.7,STANDING,2.30,-0.003
1,5960.9,STANDING,2.40,-0.001
1,5995.2,STANDING,2.62,0.017
1,6027.8,STANDING,2.99,0.010
1,6061.3,STANDING,3.49,0.024
1,6095.1,STANDING,3.95,0.017
1,6127.9,STANDING,4.49,0.048
1,6161.3,STANDING,5.33,0.039
1,6194.2,STANDING,6.40,0.098
1,6227.6,STANDING,7.58,0.137
1,6261.2,STANDING,8.77,0.166
1,6294.1,STANDING,9.82,0.118
1,6327.6,STANDING,11.03,0.096
1,6361.1,STANDING,12.18,0.109
1,6394.4,STANDING,13.03,0.151
1,6427.5,STANDING,13.74,0.181
1,6460.8,STANDING,14.35,0.223
1,6494.5,STANDING,14.91,0.238
1,6527.7,STANDING,15.37,0.251
1,6561.0,STANDING,16.00,0.229
1,6594.3,STANDING,16.73,0.266
1,6627.8,STANDING,17.65,0.310
1,6661.1,STANDING,18.83,0.235
1,6694.3,STANDING,19.96,0.296
1,6727.6,STANDING,21.60,0.246
